location,duration
"Albany, Gentry County, MO",7
"Auxvasse, Audrain County, MO",4
"Brunswick, Carroll County, MO",6
"Cardwell, Dunklin County, MO",7
"Charleston, Mississippi County, MO",8
"Clarkton, Dunklin County, MO",7
"Columbia-Sanborn Field, Boone County, MO",7
"Columbia-South Farms, Boone County, MO",7
"Cook Station, Crawford County, MO",6
"Corning, Atchison County, MO",7
"Delta, Cape Girardeau County, MO",6
"Glennonville, Dunklin County, MO",8
"Hayward, Pemiscot County, MO",7
"Lamar, Barton County, MO",7
"Linneus, Linn County, MO",5
"Monroe City, Monroe County, MO",5
"Novelty, Knox County, MO",8
"Portageville, Pemiscot County, MO",6
"St. Joseph, Buchanan County, MO",9
