location,SPI,frequency
"Albany, Gentry County, MO",-2.5,
"Auxvasse, Audrain County, MO",-2.5,
"Brunswick, Carroll County, MO",-2.5,1.0
"Cardwell, Dunklin County, MO",-2.5,1.0
"Charleston, Mississippi County, MO",-2.5,1.0
"Clarkton, Dunklin County, MO",-2.5,
"Columbia-Sanborn Field, Boone County, MO",-2.5,
"Columbia-South Farms, Boone County, MO",-2.5,
"Cook Station, Crawford County, MO",-2.5,4.0
"Corning, Atchison County, MO",-2.5,1.0
"Delta, Cape Girardeau County, MO",-2.5,
"Glennonville, Dunklin County, MO",-2.5,
"Hayward, Pemiscot County, MO",-2.5,1.0
"Lamar, Barton County, MO",-2.5,
"Linneus, Linn County, MO",-2.5,1.0
"Monroe City, Monroe County, MO",-2.5,1.0
"Novelty, Knox County, MO",-2.5,1.0
"Portageville, Pemiscot County, MO",-2.5,1.0
"St. Joseph, Buchanan County, MO",-2.5,3.0
