01/01/2000 0.0013
spi frequency percentage rankingpercentile
-3 1 0.35 2.13
-2.6 1 0.35 4.26
-2.5 2 0.7 6.38
-2.3 1 0.35 8.51
-1.9 4 1.4 10.64
-1.8 3 1.05 12.77
-1.7 2 0.7 14.89
-1.6 1 0.35 17.02
-1.5 5 1.75 19.15
-1.4 7 2.45 21.28
-1.3 4 1.4 23.4
-1.2 6 2.1 25.53
-1.1 3 1.05 27.66
-1 7 2.45 29.79
-0.9 10 3.5 31.91
-0.8 7 2.45 34.04
-0.7 15 5.24 36.17
-0.6 5 1.75 38.3
-0.5 12 4.2 40.43
-0.4 7 2.45 42.55
-0.3 8 2.8 44.68
-0.2 9 3.15 46.81
-0.1 12 4.2 48.94
0 18 6.29 51.06
0.1 10 3.5 53.19
0.2 10 3.5 55.32
0.3 15 5.24 57.45
0.4 8 2.8 59.57
0.5 6 2.1 61.7
0.6 8 2.8 63.83
0.7 8 2.8 65.96
0.8 10 3.5 68.09
0.9 8 2.8 70.21
1 5 1.75 72.34
1.1 12 4.2 74.47
1.2 2 0.7 76.6
1.3 5 1.75 78.72
1.4 6 2.1 80.85
1.5 6 2.1 82.98
1.6 3 1.05 85.11
1.7 5 1.75 87.23
1.8 3 1.05 89.36
1.9 1 0.35 91.49
2 2 0.7 93.62
2.1 1 0.35 95.74
2.2 1 0.35 97.87
2.4 1 0.35 100
