05/01/2000 0.0
start_date end_date duration peak sum average median
12/01/2000 01/01/2001 1 -1.81 -1.81 -1.81 -1.81
11/01/2002 02/01/2003 3 -1.75 -3.38 -1.13 -0.84
06/01/2004 08/01/2004 2 -1.79 -1.95 -0.98 -0.98
03/01/2005 08/01/2005 5 -1.77 -6.45 -1.29 -1.5
02/01/2006 03/01/2006 1 -2.12 -2.12 -2.12 -2.12
05/01/2006 06/01/2006 1 -1.77 -1.77 -1.77 -1.77
01/01/2009 02/01/2009 1 -2.96 -2.96 -2.96 -2.96
10/01/2010 02/01/2011 4 -1.53 -3.68 -0.92 -0.8
05/01/2012 09/01/2012 4 -2.42 -4.27 -1.07 -0.8
02/01/2016 05/01/2016 3 -1.9 -3.93 -1.31 -1.09
06/01/2016 07/01/2016 1 -1.91 -1.91 -1.91 -1.91
09/01/2017 10/01/2017 1 -2.33 -2.33 -2.33 -2.33
12/01/2017 01/01/2018 1 -1.66 -1.66 -1.66 -1.66
04/01/2018 06/01/2018 2 -2.17 -2.38 -1.19 -1.19
08/01/2020 09/01/2020 1 -2.15 -2.15 -2.15 -2.15
08/01/2022 09/01/2022 1 -1.83 -1.83 -1.83 -1.83
04/01/2023 05/01/2023 1 -2.41 -2.41 -2.41 -2.41
06/01/2023 08/01/2023 2 -1.69 -2.67 -1.34 -1.34
