01/01/2000 0.0029
start_date end_date duration peak sum average median
12/01/2000 01/01/2001 1 -1.55 -1.55 -1.55 -1.55
06/01/2002 10/01/2002 4 -1.65 -5.13 -1.28 -1.43
12/01/2002 04/01/2003 4 -2.41 -4.58 -1.14 -0.98
07/01/2003 08/01/2003 1 -1.91 -1.91 -1.91 -1.91
02/01/2006 03/01/2006 1 -2.1 -2.1 -2.1 -2.1
05/01/2006 07/01/2006 2 -1.79 -2.6 -1.3 -1.3
11/01/2007 12/01/2007 1 -2.42 -2.42 -2.42 -2.42
08/01/2008 09/01/2008 1 -2.03 -2.03 -2.03 -2.03
01/01/2009 03/01/2009 2 -2.43 -2.66 -1.33 -1.33
10/01/2011 11/01/2011 1 -2.79 -2.79 -2.79 -2.79
07/01/2012 11/01/2012 4 -1.91 -4.45 -1.11 -1.16
06/01/2013 09/01/2013 3 -1.59 -3.89 -1.3 -1.49
01/01/2014 04/01/2014 3 -1.64 -3.22 -1.07 -1.56
03/01/2018 08/01/2018 5 -2.69 -6.54 -1.31 -1.16
10/01/2020 11/01/2020 1 -1.87 -1.87 -1.87 -1.87
02/01/2021 03/01/2021 1 -1.72 -1.72 -1.72 -1.72
09/01/2021 10/01/2021 1 -1.57 -1.57 -1.57 -1.57
02/01/2022 03/01/2022 1 -2.1 -2.1 -2.1 -2.1
