01/01/2000 0.0026
start_date end_date duration peak sum average median
03/01/2000 06/01/2000 3 -1.48 -3.26 -1.09 -1.12
12/01/2000 01/01/2001 1 -1.16 -1.16 -1.16 -1.16
04/01/2001 05/01/2001 1 -1 -1 -1 -1
08/01/2001 09/01/2001 1 -1 -1 -1 -1
11/01/2001 04/01/2002 5 -1.27 -3.23 -0.65 -0.49
06/01/2002 08/01/2002 2 -1.84 -2.85 -1.43 -1.43
11/01/2002 04/01/2003 5 -1.71 -5.5 -1.1 -1.26
07/01/2003 09/01/2003 2 -1.08 -2.04 -1.02 -1.02
04/01/2004 05/01/2004 1 -1.25 -1.25 -1.25 -1.25
03/01/2005 04/01/2005 1 -1.34 -1.34 -1.34 -1.34
05/01/2005 06/01/2005 1 -1.61 -1.61 -1.61 -1.61
02/01/2006 04/01/2006 2 -2.22 -2.76 -1.38 -1.38
05/01/2006 08/01/2006 3 -1.98 -3.15 -1.05 -0.74
06/01/2007 08/01/2007 2 -2.2 -2.66 -1.33 -1.33
11/01/2007 12/01/2007 1 -2.66 -2.66 -2.66 -2.66
08/01/2008 09/01/2008 1 -1.2 -1.2 -1.2 -1.2
01/01/2009 03/01/2009 2 -2.19 -2.75 -1.37 -1.37
09/01/2009 10/01/2009 1 -1.29 -1.29 -1.29 -1.29
12/01/2010 04/01/2011 4 -1.11 -2.91 -0.73 -0.61
09/01/2011 11/01/2011 2 -2.5 -3.65 -1.83 -1.83
06/01/2012 11/01/2012 5 -1.48 -3.57 -0.71 -0.67
07/01/2013 09/01/2013 2 -2.83 -4.55 -2.28 -2.28
12/01/2013 02/01/2014 2 -1.81 -2.97 -1.49 -1.49
03/01/2014 06/01/2014 3 -1.62 -2.4 -0.8 -0.76
11/01/2014 12/01/2014 1 -1.34 -1.34 -1.34 -1.34
03/01/2015 05/01/2015 2 -1.18 -2.13 -1.07 -1.07
10/01/2015 11/01/2015 1 -1.12 -1.12 -1.12 -1.12
12/01/2017 08/01/2018 8 -2.66 -9.04 -1.13 -1.17
10/01/2020 11/01/2020 1 -1.43 -1.43 -1.43 -1.43
02/01/2021 03/01/2021 1 -1.5 -1.5 -1.5 -1.5
09/01/2021 10/01/2021 1 -1.63 -1.63 -1.63 -1.63
02/01/2022 03/01/2022 1 -1.58 -1.58 -1.58 -1.58
