01/01/2000 0.2
start_date end_date duration peak sum average median
04/01/2000 05/01/2000 1 -1.3 -1.3 -1.3 -1.3
10/01/2000 11/01/2000 1 -1.31 -1.31 -1.31 -1.31
12/01/2000 02/01/2001 2 -1.15 -1.8 -0.9 -0.9
04/01/2001 06/01/2001 2 -1.42 -2.13 -1.06 -1.06
08/01/2001 09/01/2001 1 -1.23 -1.23 -1.23 -1.23
02/01/2002 03/01/2002 1 -1.34 -1.34 -1.34 -1.34
01/01/2003 02/01/2003 1 -1.99 -1.99 -1.99 -1.99
03/01/2003 06/01/2003 3 -1.75 -2.14 -0.71 -0.2
09/01/2004 10/01/2004 1 -1.93 -1.93 -1.93 -1.93
05/01/2005 07/01/2005 2 -2.85 -3.42 -1.71 -1.71
10/01/2005 01/01/2006 3 -2.51 -4.36 -1.45 -1.73
04/01/2006 07/01/2006 3 -1.18 -1.84 -0.61 -0.37
03/01/2007 05/01/2007 2 -1.68 -2.49 -1.25 -1.25
08/01/2007 10/01/2007 2 -3.44 -3.73 -1.86 -1.86
07/01/2008 09/01/2008 2 -1.08 -1.21 -0.6 -0.6
11/01/2008 04/01/2009 5 -1.14 -2.8 -0.56 -0.38
02/01/2010 03/01/2010 1 -1.19 -1.19 -1.19 -1.19
06/01/2010 11/01/2010 5 -3.35 -7.08 -1.42 -1.31
12/01/2010 02/01/2011 2 -2.57 -3.6 -1.8 -1.8
04/01/2012 09/01/2012 5 -2.2 -6.09 -1.22 -1.12
03/01/2013 04/01/2013 1 -1.28 -1.28 -1.28 -1.28
02/01/2014 04/01/2014 2 -1.47 -2.3 -1.15 -1.15
07/01/2014 08/01/2014 1 -1.01 -1.01 -1.01 -1.01
10/01/2016 11/01/2016 1 -1.18 -1.18 -1.18 -1.18
09/01/2017 02/01/2018 5 -1.86 -3.71 -0.74 -0.48
07/01/2018 08/01/2018 1 -2.62 -2.62 -2.62 -2.62
12/01/2019 01/01/2020 1 -1.11 -1.11 -1.11 -1.11
09/01/2022 12/01/2022 3 -1.51 -2.65 -0.88 -0.75
05/01/2023 07/01/2023 2 -1.37 -2.55 -1.27 -1.27
