   MONTH       DAY      YEAR     TOTAL  
       6        20      2015      0.00  
       6        21      2015      0.00  
       6        22      2015      0.00  
       6        23      2015      0.00  
       6        24      2015      0.00  
       6        25      2015      0.00  
       6        26      2015      0.03  
       6        27      2015      0.00  
       6        28      2015      0.04  
       6        29      2015      0.00  
       6        30      2015      0.00  
       7         1      2015      1.14  
       7         2      2015      0.17  
       7         3      2015      0.30  
       7         4      2015      0.00  
       7         5      2015      0.00  
       7         6      2015      0.04  
       7         7      2015      1.11  
       7         8      2015      0.41  
       7         9      2015      1.50  
       7        10      2015      0.66  
       7        11      2015      0.00  
       7        12      2015      0.00  
       7        13      2015      0.00  
       7        14      2015      0.00  
       7        15      2015      0.00  
       7        16      2015      0.00  
       7        17      2015      0.00  
       7        18      2015      0.00  
       7        19      2015      0.50  
       7        20      2015      1.56  
       7        21      2015      0.00  
       7        22      2015      0.10  
       7        23      2015      0.45  
       7        24      2015      0.00  
       7        25      2015      0.00  
       7        26      2015      0.31  
       7        27      2015      0.00  
       7        28      2015      0.00  
       7        29      2015      0.00  
       7        30      2015      0.00  
       7        31      2015      0.00  
       8         1      2015      0.00  
       8         2      2015      0.00  
       8         3      2015      0.00  
       8         4      2015      0.00  
       8         5      2015      0.95  
       8         6      2015      0.00  
       8         7      2015      0.00  
       8         8      2015      0.00  
       8         9      2015      0.00  
       8        10      2015      3.03  
       8        11      2015      0.00  
       8        12      2015      0.00  
       8        13      2015      0.00  
       8        14      2015      0.00  
       8        15      2015      0.00  
       8        16      2015      0.00  
       8        17      2015      0.00  
       8        18      2015      0.31  
       8        19      2015      0.22  
       8        20      2015      0.00  
       8        21      2015      0.00  
       8        22      2015      0.45  
       8        23      2015      0.01  
       8        24      2015      0.00  
       8        25      2015      0.00  
       8        26      2015      0.00  
       8        27      2015      0.00  
       8        28      2015      0.00  
       8        29      2015      0.12  
       8        30      2015      0.00  
       8        31      2015      0.00  
       9         1      2015      0.00  
       9         2      2015      0.00  
       9         3      2015      0.00  
       9         4      2015      0.00  
       9         5      2015      0.00  
       9         6      2015      0.00  
       9         7      2015      0.00  
       9         8      2015      0.26  
       9         9      2015      0.21  
       9        10      2015      0.05  
       9        11      2015      0.07  
       9        12      2015      0.00  
       9        13      2015      0.00  
       9        14      2015      0.00  
       9        15      2015      0.00  
       9        16      2015      0.00  
       9        17      2015      0.00  
       9        18      2015      0.00  
       9        19      2015      0.01  
       9        20      2015      0.00  
       9        21      2015      0.00  
       9        22      2015      0.00  
       9        23      2015      0.00  
       9        24      2015      0.00  
       9        25      2015      0.00  
       9        26      2015      0.00  
       9        27      2015      0.15  
       9        28      2015      0.01  
       9        29      2015      0.04  
       9        30      2015      0.00  
      10         1      2015      0.00  
      10         2      2015      0.00  
      10         3      2015      0.00  
      10         4      2015      0.00  
      10         5      2015      0.00  
      10         6      2015      0.00  
      10         7      2015      0.00  
      10         8      2015      0.00  
      10         9      2015      0.07  
      10        10      2015      0.00  
      10        11      2015      0.00  
      10        12      2015      0.00  
      10        13      2015      0.00  
      10        14      2015      0.00  
      10        15      2015      0.06  
      10        16      2015      0.00  
      10        17      2015      0.00  
      10        18      2015      0.00  
      10        19      2015      0.00  
      10        20      2015      0.00  
      10        21      2015      0.00  
      10        22      2015      0.00  
      10        23      2015      0.19  
      10        24      2015      0.00  
      10        25      2015      0.00  
      10        26      2015      0.00  
      10        27      2015      0.48  
      10        28      2015      0.00  
      10        29      2015      0.00  
      10        30      2015      0.05  
      10        31      2015      0.23  
      11         1      2015      0.00  
      11         2      2015      0.00  
      11         3      2015      0.00  
      11         4      2015      0.00  
      11         5      2015      1.77  
      11         6      2015      0.00  
      11         7      2015      0.00  
      11         8      2015      0.00  
      11         9      2015      0.00  
      11        10      2015      0.00  
      11        11      2015      0.34  
      11        12      2015      0.00  
      11        13      2015      0.00  
      11        14      2015      0.00  
      11        15      2015      0.00  
      11        16      2015      0.94  
      11        17      2015      3.00  
      11        18      2015      0.00  
      11        19      2015      0.00  
      11        20      2015      0.00  
      11        21      2015      0.20  
      11        22      2015      0.00  
      11        23      2015      0.00  
      11        24      2015      0.00  
      11        25      2015      0.00  
      11        26      2015      0.00  
      11        27      2015      1.88  
      11        28      2015      0.29  
      11        29      2015      0.22  
      11        30      2015      0.02  
      12         1      2015      0.00  
      12         2      2015      0.00  
      12         3      2015      0.00  
      12         4      2015      0.00  
      12         5      2015      0.01  
      12         6      2015      0.00  
      12         7      2015      0.00  
      12         8      2015      0.00  
      12         9      2015      0.00  
      12        10      2015      0.00  
      12        11      2015      0.01  
      12        12      2015      0.00  
      12        13      2015      1.68  
      12        14      2015      0.22  
      12        15      2015      0.00  
      12        16      2015      0.26  
      12        17      2015      0.00  
      12        18      2015      0.00  
      12        19      2015      0.00  
      12        20      2015      0.06  
      12        21      2015      0.04  
      12        22      2015      0.00  
      12        23      2015      1.66  
      12        24      2015      0.00  
      12        25      2015      0.00  
      12        26      2015      1.28  
      12        27      2015      2.87  
      12        28      2015      2.14  
      12        29      2015      0.00  
      12        30      2015      0.00  
      12        31      2015      0.00  
       1         1      2016      0.00  
       1         2      2016      0.00  
       1         3      2016      0.00  
       1         4      2016      0.00  
       1         5      2016      0.00  
       1         6      2016      0.00  
       1         7      2016      0.21  
       1         8      2016      0.00  
       1         9      2016      0.48  
       1        10      2016      0.00  
       1        11      2016      0.00  
       1        12      2016      0.00  
       1        13      2016      0.00  
       1        14      2016      0.00  
       1        15      2016      0.00  
       1        16      2016      0.00  
       1        17      2016      0.00  
       1        18      2016      0.00  
       1        19      2016      0.00  
       1        20      2016      0.01  
       1        21      2016      0.00  
       1        22      2016      0.09  
       1        23      2016      0.00  
       1        24      2016      0.00  
       1        25      2016      0.00  
       1        26      2016      0.00  
       1        27      2016      0.00  
       1        28      2016      0.00  
       1        29      2016      0.00  
       1        30      2016      0.00  
       1        31      2016      0.00  
       2         1      2016      0.00  
       2         2      2016      0.24  
       2         3      2016      0.00  
       2         4      2016      0.00  
       2         5      2016      0.00  
       2         6      2016      0.00  
       2         7      2016      0.00  
       2         8      2016      0.00  
       2         9      2016      0.00  
       2        10      2016      0.00  
       2        11      2016      0.00  
       2        12      2016      0.00  
       2        13      2016      0.00  
       2        14      2016      0.00  
       2        15      2016      0.27  
       2        16      2016      0.24  
       2        17      2016      0.00  
       2        18      2016      0.00  
       2        19      2016      0.00  
       2        20      2016      0.00  
       2        21      2016      0.01  
       2        22      2016      0.00  
       2        23      2016      0.27  
       2        24      2016      0.62  
       2        25      2016      0.00  
       2        26      2016      0.00  
       2        27      2016      0.00  
       2        28      2016      0.00  
       2        29      2016      0.00  
       3         1      2016      0.12  
       3         2      2016      0.00  
       3         3      2016      0.04  
       3         4      2016      0.00  
       3         5      2016      0.00  
       3         6      2016      0.00  
       3         7      2016      0.00  
       3         8      2016      0.76  
       3         9      2016      0.17  
       3        10      2016      0.58  
       3        11      2016      0.00  
       3        12      2016      0.18  
       3        13      2016      0.28  
       3        14      2016      0.00  
       3        15      2016      0.00  
       3        16      2016      0.00  
       3        17      2016      0.00  
       3        18      2016      0.00  
       3        19      2016      0.00  
       3        20      2016      0.00  
       3        21      2016      0.00  
       3        22      2016      0.00  
       3        23      2016      0.00  
       3        24      2016      0.23  
       3        25      2016      0.00  
       3        26      2016      0.00  
       3        27      2016      0.00  
       3        28      2016      0.00  
       3        29      2016      0.00  
       3        30      2016      0.59  
       3        31      2016      0.41  
       4         1      2016      0.00  
       4         2      2016      0.00  
       4         3      2016      0.00  
       4         4      2016      0.00  
       4         5      2016      0.00  
       4         6      2016      0.29  
       4         7      2016      0.00  
       4         8      2016      0.00  
       4         9      2016      0.00  
       4        10      2016      0.04  
       4        11      2016      0.82  
       4        12      2016      0.00  
       4        13      2016      0.00  
       4        14      2016      0.00  
       4        15      2016      0.00  
       4        16      2016      0.00  
       4        17      2016      0.00  
       4        18      2016      0.00  
       4        19      2016      0.00  
       4        20      2016      0.32  
       4        21      2016      0.01  
       4        22      2016      0.00  
       4        23      2016      0.00  
       4        24      2016      0.00  
       4        25      2016      0.00  
       4        26      2016      0.25  
       4        27      2016      0.18  
       4        28      2016      0.00  
       4        29      2016      0.09  
       4        30      2016      1.08  
       5         1      2016      0.00  
       5         2      2016      0.00  
       5         3      2016      0.00  
       5         4      2016      0.00  
       5         5      2016      0.00  
       5         6      2016      0.00  
       5         7      2016      0.00  
       5         8      2016      0.00  
       5         9      2016      1.09  
       5        10      2016      0.45  
       5        11      2016      0.48  
       5        12      2016      1.56  
       5        13      2016      0.00  
       5        14      2016      0.00  
       5        15      2016      0.00  
       5        16      2016      1.25  
       5        17      2016      0.94  
       5        18      2016      0.00  
       5        19      2016      0.05  
       5        20      2016      0.13  
       5        21      2016      0.00  
       5        22      2016      0.00  
       5        23      2016      0.00  
       5        24      2016      1.21  
       5        25      2016      0.02  
       5        26      2016      0.34  
       5        27      2016      1.66  
       5        28      2016      0.00  
       5        29      2016      0.00  
       5        30      2016      0.09  
       5        31      2016      0.05  
       6         1      2016      0.21  
       6         2      2016      0.12  
       6         3      2016      0.20  
       6         4      2016      1.39  
       6         5      2016      0.00  
       6         6      2016      0.00  
       6         7      2016      0.00  
       6         8      2016      0.00  
       6         9      2016      0.00  
       6        10      2016      0.00  
       6        11      2016      0.00  
       6        12      2016      0.00  
       6        13      2016      0.00  
       6        14      2016      0.00  
       6        15      2016      0.16  
       6        16      2016      0.00  
       6        17      2016      0.00  
       6        18      2016      0.00  
       6        19      2016      0.00  
       6        20      2016      0.00  
       6        21      2016      0.00  
       6        22      2016      0.00  
       6        23      2016      0.04  
       6        24      2016      0.03  
       6        25      2016      0.00  
       6        26      2016      1.08  
       6        27      2016      0.01  
       6        28      2016      0.00  
       6        29      2016      0.00  
       6        30      2016      0.28  
       7         1      2016      0.00  
       7         2      2016      0.46  
       7         3      2016      0.49  
       7         4      2016      3.29  
       7         5      2016      0.00  
       7         6      2016      0.37  
       7         7      2016      1.30  
       7         8      2016      0.18  
       7         9      2016      0.68  
       7        10      2016      0.00  
       7        11      2016      0.00  
       7        12      2016      0.00  
       7        13      2016      0.00  
       7        14      2016      0.02  
       7        15      2016      0.00  
       7        16      2016      0.00  
       7        17      2016      0.00  
       7        18      2016      0.00  
       7        19      2016      0.00  
       7        20      2016      0.25  
       7        21      2016      0.00  
       7        22      2016      0.00  
       7        23      2016      0.00  
       7        24      2016      0.00  
       7        25      2016      0.65  
       7        26      2016      0.10  
       7        27      2016      0.04  
       7        28      2016      0.05  
       7        29      2016      0.35  
       7        30      2016      0.00  
       7        31      2016      0.10  
       8         1      2016      0.41  
       8         2      2016      0.00  
       8         3      2016      0.45  
       8         4      2016      0.00  
       8         5      2016      0.10  
       8         6      2016      0.01  
       8         7      2016      0.00  
       8         8      2016      0.05  
       8         9      2016      0.00  
       8        10      2016      0.00  
       8        11      2016      0.00  
       8        12      2016      0.17  
       8        13      2016      0.68  
       8        14      2016      2.07  
       8        15      2016      1.88  
       8        16      2016      0.01  
       8        17      2016      0.00  
       8        18      2016      0.00  
       8        19      2016      0.05  
       8        20      2016      0.00  
       8        21      2016      0.00  
       8        22      2016      0.00  
       8        23      2016      0.25  
       8        24      2016      0.00  
       8        25      2016      0.00  
       8        26      2016      0.00  
       8        27      2016      0.00  
       8        28      2016      0.00  
       8        29      2016      0.00  
       8        30      2016      0.00  
       8        31      2016      0.00  
       9         1      2016      0.00  
       9         2      2016      0.00  
       9         3      2016      0.00  
       9         4      2016      0.00  
       9         5      2016      0.00  
       9         6      2016      0.00  
       9         7      2016      0.00  
       9         8      2016      0.46  
       9         9      2016      0.00  
       9        10      2016      0.00  
       9        11      2016      0.00  
       9        12      2016      0.00  
       9        13      2016      0.00  
       9        14      2016      0.00  
       9        15      2016      0.03  
       9        16      2016      1.85  
       9        17      2016      0.01  
       9        18      2016      0.00  
       9        19      2016      0.00  
       9        20      2016      0.00  
       9        21      2016      0.00  
       9        22      2016      0.00  
       9        23      2016      0.00  
       9        24      2016      0.00  
       9        25      2016      0.00  
       9        26      2016      0.19  
       9        27      2016      0.00  
       9        28      2016      0.00  
       9        29      2016      0.00  
       9        30      2016      0.00  
      10         1      2016      0.00  
      10         2      2016      0.00  
      10         3      2016      0.00  
      10         4      2016      0.00  
      10         5      2016      0.22  
      10         6      2016      0.00  
      10         7      2016      0.00  
      10         8      2016      0.00  
      10         9      2016      0.00  
      10        10      2016      0.00  
      10        11      2016      0.00  
      10        12      2016      0.58  
      10        13      2016      0.00  
      10        14      2016      0.11  
      10        15      2016      0.01  
      10        16      2016      0.00  
      10        17      2016      0.00  
      10        18      2016      0.00  
      10        19      2016      0.13  
      10        20      2016      1.04  
      10        21      2016      0.00  
      10        22      2016      0.00  
      10        23      2016      0.00  
      10        24      2016      0.00  
      10        25      2016      0.00  
      10        26      2016      0.06  
      10        27      2016      0.00  
      10        28      2016      0.00  
      10        29      2016      0.00  
      10        30      2016      0.00  
      10        31      2016      0.00  
      11         1      2016      0.00  
      11         2      2016      0.00  
      11         3      2016      0.08  
      11         4      2016      0.01  
      11         5      2016      0.00  
      11         6      2016      0.00  
      11         7      2016      0.00  
      11         8      2016      0.01  
      11         9      2016      0.00  
      11        10      2016      0.00  
      11        11      2016      0.00  
      11        12      2016      0.00  
      11        13      2016      0.00  
      11        14      2016      0.00  
      11        15      2016      0.00  
      11        16      2016      0.00  
      11        17      2016      0.00  
      11        18      2016      0.38  
      11        19      2016      0.00  
      11        20      2016      0.00  
      11        21      2016      0.00  
      11        22      2016      0.30  
      11        23      2016      0.11  
      11        24      2016      0.00  
      11        25      2016      0.00  
      11        26      2016      0.00  
      11        27      2016      0.05  
      11        28      2016      0.56  
      11        29      2016      0.00  
      11        30      2016      0.00  
      12         1      2016      0.00  
      12         2      2016      0.00  
      12         3      2016      0.10  
      12         4      2016      0.14  
      12         5      2016      0.00  
      12         6      2016      0.02  
      12         7      2016      0.00  
      12         8      2016      0.00  
      12         9      2016      0.00  
      12        10      2016      0.00  
      12        11      2016      0.00  
      12        12      2016      0.00  
      12        13      2016      0.01  
      12        14      2016      0.00  
      12        15      2016      0.00  
      12        16      2016      0.03  
      12        17      2016      0.01  
      12        18      2016      0.00  
      12        19      2016      0.01  
      12        20      2016      0.01  
      12        21      2016      0.00  
      12        22      2016      0.00  
      12        23      2016      0.53  
      12        24      2016      0.00  
      12        25      2016      0.01  
      12        26      2016      0.13  
      12        27      2016      0.00  
      12        28      2016      0.00  
      12        29      2016      0.00  
      12        30      2016      0.00  
      12        31      2016      0.00  
       1         1      2017      0.00  
       1         2      2017      0.06  
       1         3      2017      0.00  
       1         4      2017      0.00  
       1         5      2017      0.00  
       1         6      2017      0.00  
       1         7      2017      0.01  
       1         8      2017      0.00  
       1         9      2017      0.01  
       1        10      2017      0.00  
       1        11      2017      0.00  
       1        12      2017      0.02  
       1        13      2017      0.30  
       1        14      2017      0.56  
       1        15      2017      0.35  
       1        16      2017      0.35  
       1        17      2017      0.00  
       1        18      2017      0.00  
       1        19      2017      0.18  
       1        20      2017      0.00  
       1        21      2017      0.00  
       1        22      2017      0.41  
       1        23      2017      0.00  
       1        24      2017      0.00  
       1        25      2017      0.00  
       1        26      2017      0.00  
       1        27      2017      0.00  
       1        28      2017      0.00  
       1        29      2017      0.00  
       1        30      2017      0.00  
       1        31      2017      0.00  
       2         1      2017      0.00  
       2         2      2017      0.00  
       2         3      2017      0.00  
       2         4      2017      0.00  
       2         5      2017      0.00  
       2         6      2017      0.00  
       2         7      2017      0.01  
       2         8      2017      0.00  
       2         9      2017      0.00  
       2        10      2017      0.00  
       2        11      2017      0.00  
       2        12      2017      0.00  
       2        13      2017      0.00  
       2        14      2017      0.01  
       2        15      2017      0.00  
       2        16      2017      0.00  
       2        17      2017      0.00  
       2        18      2017      0.07  
       2        19      2017      0.00  
       2        20      2017      0.20  
       2        21      2017      0.78  
       2        22      2017      0.00  
       2        23      2017      0.00  
       2        24      2017      0.00  
       2        25      2017      0.00  
       2        26      2017      0.00  
       2        27      2017      0.01  
       2        28      2017      0.02  
       3         1      2017      0.33  
       3         2      2017      0.00  
       3         3      2017      0.00  
       3         4      2017      0.00  
       3         5      2017      0.00  
       3         6      2017      0.02  
       3         7      2017      0.57  
       3         8      2017      0.00  
       3         9      2017      0.41  
       3        10      2017      0.00  
       3        11      2017      0.02  
       3        12      2017      0.00  
       3        13      2017      0.23  
       3        14      2017      0.00  
       3        15      2017      0.00  
       3        16      2017      0.00  
       3        17      2017      0.00  
       3        18      2017      0.00  
       3        19      2017      0.00  
       3        20      2017      0.00  
       3        21      2017      0.38  
       3        22      2017      0.00  
       3        23      2017      0.00  
       3        24      2017      1.19  
       3        25      2017      0.43  
       3        26      2017      0.00  
       3        27      2017      0.56  
       3        28      2017      0.00  
       3        29      2017      0.22  
       3        30      2017      0.26  
       3        31      2017      0.02  
       4         1      2017      0.00  
       4         2      2017      0.04  
       4         3      2017      0.04  
       4         4      2017      0.62  
       4         5      2017      0.64  
       4         6      2017      0.00  
       4         7      2017      0.00  
       4         8      2017      0.00  
       4         9      2017      0.00  
       4        10      2017      0.00  
       4        11      2017      0.00  
       4        12      2017      0.00  
       4        13      2017      0.00  
       4        14      2017      0.00  
       4        15      2017      0.00  
       4        16      2017      0.17  
       4        17      2017      0.57  
       4        18      2017      0.00  
       4        19      2017      0.00  
       4        20      2017      0.47  
       4        21      2017      2.12  
       4        22      2017      0.44  
       4        23      2017      0.00  
       4        24      2017      0.00  
       4        25      2017      0.00  
       4        26      2017      1.68  
       4        27      2017      0.01  
       4        28      2017      0.11  
       4        29      2017      5.73  
       4        30      2017      2.17  
       5         1      2017      0.00  
       5         2      2017      0.00  
       5         3      2017      1.51  
       5         4      2017      2.27  
       5         5      2017      0.00  
       5         6      2017      0.00  
       5         7      2017      0.00  
       5         8      2017      0.00  
       5         9      2017      0.00  
       5        10      2017      0.00  
       5        11      2017      0.33  
       5        12      2017      0.08  
       5        13      2017      0.00  
       5        14      2017      0.00  
       5        15      2017      0.00  
       5        16      2017      0.00  
       5        17      2017      0.00  
       5        18      2017      0.00  
       5        19      2017      0.09  
       5        20      2017      1.57  
       5        21      2017      0.01  
       5        22      2017      0.00  
       5        23      2017      0.02  
       5        24      2017      0.09  
       5        25      2017      0.00  
       5        26      2017      0.07  
       5        27      2017      1.66  
       5        28      2017      0.02  
       5        29      2017      0.00  
       5        30      2017      0.00  
       5        31      2017      0.01  
       6         1      2017      0.00  
       6         2      2017      0.00  
       6         3      2017      0.82  
       6         4      2017      0.67  
       6         5      2017      0.14  
       6         6      2017      0.01  
       6         7      2017      0.00  
       6         8      2017      0.00  
       6         9      2017      0.00  
       6        10      2017      0.00  
       6        11      2017      0.00  
       6        12      2017      0.00  
       6        13      2017      0.00  
       6        14      2017      0.00  
       6        15      2017      0.18  
       6        16      2017      0.00  
       6        17      2017      0.19  
       6        18      2017      0.23  
       6        19      2017      0.00  
       6        20      2017      0.00  
       6        21      2017      0.00  
       6        22      2017      0.00  
       6        23      2017      0.07  
       6        24      2017      0.00  
       6        25      2017      0.00  
       6        26      2017      0.28  
       6        27      2017      0.04  
       6        28      2017      0.00  
       6        29      2017      0.00  
       6        30      2017      0.08  
       7         1      2017      0.00  
       7         2      2017      0.00  
       7         3      2017      0.04  
       7         4      2017      0.17  
       7         5      2017      3.48  
       7         6      2017      0.07  
       7         7      2017      0.00  
       7         8      2017      0.00  
       7         9      2017      0.00  
       7        10      2017      0.00  
       7        11      2017      0.00  
       7        12      2017      0.00  
       7        13      2017      0.00  
       7        14      2017      0.37  
       7        15      2017      0.00  
       7        16      2017      0.00  
       7        17      2017      0.00  
       7        18      2017      0.00  
       7        19      2017      0.00  
       7        20      2017      0.00  
       7        21      2017      0.00  
       7        22      2017      0.00  
       7        23      2017      0.00  
       7        24      2017      0.00  
       7        25      2017      0.00  
       7        26      2017      0.00  
       7        27      2017      0.16  
       7        28      2017      0.01  
       7        29      2017      0.00  
       7        30      2017      0.00  
       7        31      2017      0.00  
       8         1      2017      0.00  
       8         2      2017      0.00  
       8         3      2017      0.22  
       8         4      2017      0.00  
       8         5      2017      1.67  
       8         6      2017      1.62  
       8         7      2017      0.01  
       8         8      2017      0.00  
       8         9      2017      0.00  
       8        10      2017      0.36  
       8        11      2017      0.42  
       8        12      2017      0.00  
       8        13      2017      0.03  
       8        14      2017      0.03  
       8        15      2017      0.07  
       8        16      2017      0.58  
       8        17      2017      0.35  
       8        18      2017      0.00  
       8        19      2017      0.00  
       8        20      2017      0.54  
       8        21      2017      0.00  
       8        22      2017      0.02  
       8        23      2017      0.00  
       8        24      2017      0.00  
       8        25      2017      0.00  
       8        26      2017      0.00  
       8        27      2017      0.04  
       8        28      2017      0.00  
       8        29      2017      0.00  
       8        30      2017      0.00  
       8        31      2017      0.00  
       9         1      2017      0.00  
       9         2      2017      0.00  
       9         3      2017      0.00  
       9         4      2017      0.18  
       9         5      2017      0.00  
       9         6      2017      0.00  
       9         7      2017      0.00  
       9         8      2017      0.00  
       9         9      2017      0.00  
       9        10      2017      0.00  
       9        11      2017      0.00  
       9        12      2017      0.05  
       9        13      2017      0.00  
       9        14      2017      0.00  
       9        15      2017      0.00  
       9        16      2017      0.00  
       9        17      2017      0.00  
       9        18      2017      0.22  
       9        19      2017      0.00  
       9        20      2017      0.00  
       9        21      2017      0.00  
       9        22      2017      0.00  
       9        23      2017      0.00  
       9        24      2017      0.00  
       9        25      2017      0.00  
       9        26      2017      0.00  
       9        27      2017      0.00  
       9        28      2017      0.00  
       9        29      2017      0.00  
       9        30      2017      0.00  
      10         1      2017      0.00  
      10         2      2017      0.00  
      10         3      2017      0.04  
      10         4      2017      0.00  
      10         5      2017      0.00  
      10         6      2017      0.00  
      10         7      2017      0.03  
      10         8      2017      0.00  
      10         9      2017      0.26  
      10        10      2017      0.01  
      10        11      2017      0.00  
      10        12      2017      0.00  
      10        13      2017      0.00  
      10        14      2017      0.00  
      10        15      2017      0.39  
      10        16      2017      0.00  
      10        17      2017      0.00  
      10        18      2017      0.00  
      10        19      2017      0.00  
      10        20      2017      0.00  
      10        21      2017      0.11  
      10        22      2017      0.69  
      10        23      2017      0.00  
      10        24      2017      0.00  
      10        25      2017      0.00  
      10        26      2017      0.00  
      10        27      2017      0.00  
      10        28      2017      0.00  
      10        29      2017      0.00  
      10        30      2017      0.00  
      10        31      2017      0.10  
      11         1      2017      0.20  
      11         2      2017      0.96  
      11         3      2017      0.00  
      11         4      2017      0.00  
      11         5      2017      0.00  
      11         6      2017      0.27  
      11         7      2017      0.00  
      11         8      2017      0.00  
      11         9      2017      0.00  
      11        10      2017      0.00  
      11        11      2017      0.01  
      11        12      2017      0.00  
      11        13      2017      0.00  
      11        14      2017      0.00  
      11        15      2017      0.31  
      11        16      2017      0.00  
      11        17      2017      0.00  
      11        18      2017      0.01  
      11        19      2017      0.00  
      11        20      2017      0.00  
      11        21      2017      0.00  
      11        22      2017      0.00  
      11        23      2017      0.00  
      11        24      2017      0.00  
      11        25      2017      0.00  
      11        26      2017      0.00  
      11        27      2017      0.00  
      11        28      2017      0.00  
      11        29      2017      0.01  
      11        30      2017      0.00  
      12         1      2017      0.00  
      12         2      2017      0.00  
      12         3      2017      0.00  
      12         4      2017      0.32  
      12         5      2017      0.00  
      12         6      2017      0.00  
      12         7      2017      0.00  
      12         8      2017      0.00  
      12         9      2017      0.00  
      12        10      2017      0.00  
      12        11      2017      0.00  
      12        12      2017      0.00  
      12        13      2017      0.00  
      12        14      2017      0.00  
      12        15      2017      0.00  
      12        16      2017      0.00  
      12        17      2017      0.12  
      12        18      2017      0.00  
      12        19      2017      0.00  
      12        20      2017      0.00  
      12        21      2017      0.00  
      12        22      2017      1.07  
      12        23      2017      0.42  
      12        24      2017      0.00  
      12        25      2017      0.00  
      12        26      2017      0.00  
      12        27      2017      0.00  
      12        28      2017      0.00  
      12        29      2017      0.00  
      12        30      2017      0.00  
      12        31      2017      0.00  
       1         1      2018      0.00  
       1         2      2018      0.00  
       1         3      2018      0.00  
       1         4      2018      0.00  
       1         5      2018      0.00  
       1         6      2018      0.00  
       1         7      2018      0.55  
       1         8      2018      0.02  
       1         9      2018      0.00  
       1        10      2018      0.04  
       1        11      2018      0.14  
       1        12      2018      0.00  
       1        13      2018      0.00  
       1        14      2018      0.00  
       1        15      2018      0.00  
       1        16      2018      0.00  
       1        17      2018      0.00  
       1        18      2018      0.00  
       1        19      2018      0.00  
       1        20      2018      0.00  
       1        21      2018      0.00  
       1        22      2018      0.64  
       1        23      2018      0.00  
       1        24      2018      0.00  
       1        25      2018      0.00  
       1        26      2018      0.00  
       1        27      2018      0.36  
       1        28      2018      0.00  
       1        29      2018      0.00  
       1        30      2018      0.00  
       1        31      2018      0.00  
       2         1      2018      0.00  
       2         2      2018      0.00  
       2         3      2018      0.01  
       2         4      2018      0.00  
       2         5      2018      0.01  
       2         6      2018      0.00  
       2         7      2018      0.00  
       2         8      2018      0.00  
       2         9      2018      0.00  
       2        10      2018      0.00  
       2        11      2018      0.00  
       2        12      2018      0.01  
       2        13      2018      0.00  
       2        14      2018      0.00  
       2        15      2018      0.01  
       2        16      2018      0.41  
       2        17      2018      0.35  
       2        18      2018      0.01  
       2        19      2018      0.01  
       2        20      2018      2.51  
       2        21      2018      0.38  
       2        22      2018      0.61  
       2        23      2018      0.43  
       2        24      2018      2.02  
       2        25      2018      0.00  
       2        26      2018      0.00  
       2        27      2018      0.08  
       2        28      2018      0.04  
       3         1      2018      0.00  
       3         2      2018      0.00  
       3         3      2018      0.00  
       3         4      2018      0.01  
       3         5      2018      0.58  
       3         6      2018      0.00  
       3         7      2018      0.00  
       3         8      2018      0.00  
       3         9      2018      0.10  
       3        10      2018      0.01  
       3        11      2018      0.02  
       3        12      2018      0.00  
       3        13      2018      0.00  
       3        14      2018      0.00  
       3        15      2018      0.00  
       3        16      2018      0.28  
       3        17      2018      0.01  
       3        18      2018      0.09  
       3        19      2018      0.44  
       3        20      2018      0.02  
       3        21      2018      0.00  
       3        22      2018      0.00  
       3        23      2018      0.00  
       3        24      2018      0.00  
       3        25      2018      0.00  
       3        26      2018      0.07  
       3        27      2018      1.66  
       3        28      2018      0.18  
       3        29      2018      1.22  
       3        30      2018      0.00  
       3        31      2018      0.30  
       4         1      2018      0.50  
       4         2      2018      0.00  
       4         3      2018      0.08  
       4         4      2018      0.00  
       4         5      2018      0.00  
       4         6      2018      0.00  
       4         7      2018      0.00  
       4         8      2018      0.00  
       4         9      2018      0.00  
       4        10      2018      0.00  
       4        11      2018      0.00  
       4        12      2018      0.00  
       4        13      2018      2.19  
       4        14      2018      0.12  
       4        15      2018      0.00  
       4        16      2018      0.00  
       4        17      2018      0.00  
       4        18      2018      0.00  
       4        19      2018      0.00  
       4        20      2018      0.00  
       4        21      2018      0.00  
       4        22      2018      0.84  
       4        23      2018      0.20  
       4        24      2018      0.00  
       4        25      2018      0.15  
       4        26      2018      0.00  
       4        27      2018      0.00  
       4        28      2018      0.00  
       4        29      2018      0.00  
       4        30      2018      0.00  
       5         1      2018      0.00  
       5         2      2018      0.00  
       5         3      2018      2.45  
       5         4      2018      0.00  
       5         5      2018      0.00  
       5         6      2018      0.02  
       5         7      2018      0.00  
       5         8      2018      0.00  
       5         9      2018      0.01  
       5        10      2018      0.00  
       5        11      2018      0.00  
       5        12      2018      0.00  
       5        13      2018      0.00  
       5        14      2018      1.24  
       5        15      2018      0.12  
       5        16      2018      1.71  
       5        17      2018      0.12  
       5        18      2018      0.07  
       5        19      2018      0.47  
       5        20      2018      0.25  
       5        21      2018      0.24  
       5        22      2018      0.00  
       5        23      2018      0.00  
       5        24      2018      0.00  
       5        25      2018      0.53  
       5        26      2018      0.00  
       5        27      2018      0.00  
       5        28      2018      0.00  
       5        29      2018      0.00  
