location,duration
"Albany, Gentry County, MO",4
"Auxvasse, Audrain County, MO",2
"Brunswick, Carroll County, MO",3
"Cardwell, Dunklin County, MO",4
"Charleston, Mississippi County, MO",4
"Clarkton, Dunklin County, MO",4
"Columbia-Sanborn Field, Boone County, MO",3
"Columbia-South Farms, Boone County, MO",3
"Cook Station, Crawford County, MO",4
"Corning, Atchison County, MO",4
"Delta, Cape Girardeau County, MO",4
"Glennonville, Dunklin County, MO",4
"Hayward, Pemiscot County, MO",4
"Lamar, Barton County, MO",5
"Linneus, Linn County, MO",3
"Monroe City, Monroe County, MO",2
"Novelty, Knox County, MO",3
"Portageville, Pemiscot County, MO",5
"St. Joseph, Buchanan County, MO",5
