location,duration
"Albany, Gentry County, MO",5
"Auxvasse, Audrain County, MO",5
"Brunswick, Carroll County, MO",5
"Cardwell, Dunklin County, MO",4
"Charleston, Mississippi County, MO",5
"Clarkton, Dunklin County, MO",5
"Columbia-Sanborn Field, Boone County, MO",5
"Columbia-South Farms, Boone County, MO",5
"Cook Station, Crawford County, MO",10
"Corning, Atchison County, MO",5
"Delta, Cape Girardeau County, MO",4
"Glennonville, Dunklin County, MO",5
"Hayward, Pemiscot County, MO",5
"Lamar, Barton County, MO",8
"Linneus, Linn County, MO",5
"Monroe City, Monroe County, MO",4
"Novelty, Knox County, MO",5
"Portageville, Pemiscot County, MO",5
"St. Joseph, Buchanan County, MO",6
