0,1,2,3
-3.1,1,0.34,2.04
-2.7,1,0.34,4.08
-2.5,2,0.68,6.12
-2.2,1,0.34,8.16
-2.1,2,0.68,10.2
-2.0,2,0.68,12.24
-1.9,1,0.34,14.29
-1.8,2,0.68,16.33
-1.7,2,0.68,18.37
-1.6,4,1.37,20.41
-1.5,2,0.68,22.45
-1.4,3,1.02,24.49
-1.3,8,2.73,26.53
-1.2,2,0.68,28.57
-1.1,6,2.05,30.61
-1.0,5,1.71,32.65
-0.9,11,3.75,34.69
-0.8,9,3.07,36.73
-0.7,10,3.41,38.78
-0.6,8,2.73,40.82
-0.5,16,5.46,42.86
-0.4,10,3.41,44.9
-0.3,15,5.12,46.94
-0.2,11,3.75,48.98
-0.1,8,2.73,51.02
0.0,16,5.46,53.06
0.1,8,2.73,55.1
0.2,11,3.75,57.14
0.3,9,3.07,59.18
0.4,12,4.1,61.22
0.5,4,1.37,63.27
0.6,15,5.12,65.31
0.7,5,1.71,67.35
0.8,9,3.07,69.39
0.9,10,3.41,71.43
1.0,8,2.73,73.47
1.1,8,2.73,75.51
1.2,3,1.02,77.55
1.3,3,1.02,79.59
1.4,4,1.37,81.63
1.5,8,2.73,83.67
1.6,3,1.02,85.71
1.7,3,1.02,87.76
1.8,2,0.68,89.8
1.9,5,1.71,91.84
2.1,1,0.34,93.88
2.2,2,0.68,95.92
2.3,1,0.34,97.96
2.5,1,0.34,100.0
