0,1,2,3
-99.0,5,1.71,2.13
-2.5,1,0.34,4.26
-2.2,1,0.34,6.38
-2.0,3,1.02,8.51
-1.9,5,1.71,10.64
-1.8,2,0.68,12.77
-1.7,4,1.37,14.89
-1.6,2,0.68,17.02
-1.5,4,1.37,19.15
-1.4,6,2.05,21.28
-1.3,6,2.05,23.4
-1.2,6,2.05,25.53
-1.1,3,1.02,27.66
-1.0,11,3.75,29.79
-0.9,8,2.73,31.91
-0.8,6,2.05,34.04
-0.7,9,3.07,36.17
-0.6,6,2.05,38.3
-0.5,17,5.8,40.43
-0.4,6,2.05,42.55
-0.3,15,5.12,44.68
-0.2,9,3.07,46.81
-0.1,9,3.07,48.94
0.0,5,1.71,51.06
0.1,12,4.1,53.19
0.2,14,4.78,55.32
0.3,14,4.78,57.45
0.4,5,1.71,59.57
0.5,11,3.75,61.7
0.6,9,3.07,63.83
0.7,11,3.75,65.96
0.8,9,3.07,68.09
0.9,6,2.05,70.21
1.0,12,4.1,72.34
1.1,7,2.39,74.47
1.2,6,2.05,76.6
1.3,1,0.34,78.72
1.4,2,0.68,80.85
1.5,6,2.05,82.98
1.6,4,1.37,85.11
1.7,2,0.68,87.23
1.8,3,1.02,89.36
1.9,1,0.34,91.49
2.0,2,0.68,93.62
2.1,2,0.68,95.74
2.2,3,1.02,97.87
2.4,2,0.68,100.0
