0,1,2,3
-99.0,2,0.68,2.13
-2.9,2,0.68,4.26
-2.4,2,0.68,6.38
-2.3,1,0.34,8.51
-2.1,2,0.68,10.64
-2.0,2,0.68,12.77
-1.9,3,1.02,14.89
-1.8,4,1.37,17.02
-1.7,2,0.68,19.15
-1.6,5,1.71,21.28
-1.5,4,1.37,23.4
-1.4,2,0.68,25.53
-1.3,3,1.02,27.66
-1.2,4,1.37,29.79
-1.1,6,2.05,31.91
-1.0,7,2.39,34.04
-0.9,7,2.39,36.17
-0.8,3,1.02,38.3
-0.7,6,2.05,40.43
-0.6,9,3.07,42.55
-0.5,14,4.78,44.68
-0.4,11,3.75,46.81
-0.3,13,4.44,48.94
-0.2,16,5.46,51.06
-0.1,6,2.05,53.19
0.0,11,3.75,55.32
0.1,18,6.14,57.45
0.2,12,4.1,59.57
0.3,8,2.73,61.7
0.4,17,5.8,63.83
0.5,10,3.41,65.96
0.6,7,2.39,68.09
0.7,8,2.73,70.21
0.8,8,2.73,72.34
0.9,8,2.73,74.47
1.0,9,3.07,76.6
1.1,4,1.37,78.72
1.2,9,3.07,80.85
1.3,3,1.02,82.98
1.4,4,1.37,85.11
1.5,2,0.68,87.23
1.6,5,1.71,89.36
1.7,3,1.02,91.49
1.8,5,1.71,93.62
2.2,1,0.34,95.74
2.3,3,1.02,97.87
2.4,2,0.68,100.0
