0,1,2,3
-99.0,5,1.71,2.22
-2.5,1,0.34,4.44
-2.3,1,0.34,6.67
-2.1,2,0.68,8.89
-2.0,2,0.68,11.11
-1.9,1,0.34,13.33
-1.8,4,1.37,15.56
-1.7,5,1.71,17.78
-1.6,6,2.05,20.0
-1.5,1,0.34,22.22
-1.4,9,3.07,24.44
-1.3,4,1.37,26.67
-1.2,5,1.71,28.89
-1.1,5,1.71,31.11
-1.0,10,3.41,33.33
-0.9,4,1.37,35.56
-0.8,10,3.41,37.78
-0.7,14,4.78,40.0
-0.6,10,3.41,42.22
-0.5,8,2.73,44.44
-0.4,7,2.39,46.67
-0.3,8,2.73,48.89
-0.2,5,1.71,51.11
-0.1,12,4.1,53.33
0.0,6,2.05,55.56
0.1,11,3.75,57.78
0.2,16,5.46,60.0
0.3,11,3.75,62.22
0.4,10,3.41,64.44
0.5,8,2.73,66.67
0.6,9,3.07,68.89
0.7,9,3.07,71.11
0.8,8,2.73,73.33
0.9,13,4.44,75.56
1.0,9,3.07,77.78
1.1,4,1.37,80.0
1.2,6,2.05,82.22
1.3,7,2.39,84.44
1.4,4,1.37,86.67
1.5,8,2.73,88.89
1.6,2,0.68,91.11
1.7,4,1.37,93.33
1.8,2,0.68,95.56
1.9,5,1.71,97.78
2.0,2,0.68,100.0
