0,1,2,3,4,5,6
12/01/2000,11/01/2001,11,-2.26,-16.18,-1.47,-1.58
03/01/2003,07/01/2003,4,-1.43,-3.39,-0.85,-0.85
03/01/2004,07/01/2004,4,-1.11,-2.5,-0.63,-0.67
05/01/2005,09/01/2006,16,-2.06,-20.29,-1.27,-1.31
05/01/2007,12/01/2007,7,-2.44,-9.75,-1.39,-1.51
10/01/2008,05/01/2009,7,-1.5,-5.11,-0.73,-0.59
10/01/2010,04/01/2011,6,-2.03,-8.95,-1.49,-1.55
06/01/2012,05/01/2013,11,-2.54,-15.13,-1.38,-1.41
01/01/2015,11/01/2015,10,-1.34,-6.67,-0.67,-0.74
02/01/2017,04/01/2017,2,-1.51,-2.42,-1.21,-1.21
11/01/2022,03/01/2023,4,-1.38,-3.12,-0.78,-0.67
