0,1,2,3
-99.0,5,1.71,2
-2.8,1,0.34,4
-2.7,1,0.34,6
-2.3,2,0.68,8
-2.2,2,0.68,10
-2.1,1,0.34,12
-2.0,1,0.34,14
-1.7,1,0.34,16
-1.6,5,1.71,18
-1.5,5,1.71,20
-1.4,3,1.02,22
-1.3,6,2.05,24
-1.2,7,2.39,26
-1.1,9,3.07,28
-1.0,1,0.34,30
-0.9,12,4.1,32
-0.8,10,3.41,34
-0.7,13,4.44,36
-0.6,11,3.75,38
-0.5,5,1.71,40
-0.4,11,3.75,42
-0.3,11,3.75,44
-0.2,14,4.78,46
-0.1,11,3.75,48
0.0,10,3.41,50
0.1,12,4.1,52
0.2,9,3.07,54
0.3,11,3.75,56
0.4,7,2.39,58
0.5,8,2.73,60
0.6,9,3.07,62
0.7,9,3.07,64
0.8,13,4.44,66
0.9,9,3.07,68
1.0,7,2.39,70
1.1,2,0.68,72
1.2,7,2.39,74
1.3,4,1.37,76
1.4,7,2.39,78
1.5,3,1.02,80
1.6,2,0.68,82
1.7,1,0.34,84
1.8,4,1.37,86
1.9,3,1.02,88
2.0,3,1.02,90
2.2,1,0.34,92
2.3,1,0.34,94
2.4,1,0.34,96
2.5,1,0.34,98
2.6,1,0.34,100
