location,SPI,frequency
"Albany, Gentry County, MO",-2.3,0
"Auxvasse, Audrain County, MO",-2.3,0
"Brunswick, Carroll County, MO",-2.3,3
"Cardwell, Dunklin County, MO",-2.3,5
"Charleston, Mississippi County, MO",-2.3,3
"Clarkton, Dunklin County, MO",-2.3,0
"Columbia-Sanborn Field, Boone County, MO",-2.3,2
"Columbia-South Farms, Boone County, MO",-2.3,2
"Cook Station, Crawford County, MO",-2.3,7
"Corning, Atchison County, MO",-2.3,3
"Delta, Cape Girardeau County, MO",-2.3,0
"Glennonville, Dunklin County, MO",-2.3,0
"Hayward, Pemiscot County, MO",-2.3,5
"Lamar, Barton County, MO",-2.3,0
"Linneus, Linn County, MO",-2.3,2
"Monroe City, Monroe County, MO",-2.3,2
"Novelty, Knox County, MO",-2.3,2
"Portageville, Pemiscot County, MO",-2.3,5
"St. Joseph, Buchanan County, MO",-2.3,8
