location,SPI,start_date,end_date,duration
"Brunswick, Carroll County, MO",-0.9,2024-02-01,2024-03-01,29 days
"Cardwell, Dunklin County, MO",-0.9,2000-07-01,2000-08-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2000-12-01,2001-01-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2001-04-01,2001-05-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2001-07-01,2001-08-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2002-04-01,2002-05-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2002-11-01,2002-12-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2003-01-01,2003-02-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2003-03-01,2003-04-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2004-09-01,2004-10-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2005-05-01,2005-06-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2005-10-01,2005-11-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2005-12-01,2006-01-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2007-03-01,2007-04-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2007-05-01,2007-06-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2007-08-01,2007-09-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2008-05-01,2008-08-01,92 days
"Cardwell, Dunklin County, MO",-0.9,2008-11-01,2008-12-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2009-01-01,2009-02-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2009-11-01,2009-12-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2010-02-01,2010-03-01,28 days
"Cardwell, Dunklin County, MO",-0.9,2010-06-01,2010-07-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2010-08-01,2010-09-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2010-10-01,2010-11-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2011-01-01,2011-02-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2011-07-01,2011-08-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2012-02-01,2012-03-01,29 days
"Cardwell, Dunklin County, MO",-0.9,2012-04-01,2012-06-01,61 days
"Cardwell, Dunklin County, MO",-0.9,2013-03-01,2013-04-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2014-02-01,2014-03-01,28 days
"Cardwell, Dunklin County, MO",-0.9,2015-01-01,2015-02-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2016-06-01,2016-07-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2016-10-01,2016-11-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2017-02-01,2017-03-01,28 days
"Cardwell, Dunklin County, MO",-0.9,2017-09-01,2017-11-01,61 days
"Cardwell, Dunklin County, MO",-0.9,2018-07-01,2018-08-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2022-06-01,2022-07-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2022-09-01,2022-10-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2023-06-01,2023-07-01,30 days
"Cardwell, Dunklin County, MO",-0.9,2023-12-01,2024-01-01,31 days
"Cardwell, Dunklin County, MO",-0.9,2024-03-01,2024-05-01,61 days
"Charleston, Mississippi County, MO",-0.9,2000-04-01,2000-05-01,30 days
"Charleston, Mississippi County, MO",-0.9,2000-10-01,2000-11-01,31 days
"Charleston, Mississippi County, MO",-0.9,2000-12-01,2001-02-01,62 days
"Charleston, Mississippi County, MO",-0.9,2001-03-01,2001-06-01,92 days
"Charleston, Mississippi County, MO",-0.9,2002-02-01,2002-03-01,28 days
"Charleston, Mississippi County, MO",-0.9,2003-01-01,2003-02-01,31 days
"Charleston, Mississippi County, MO",-0.9,2003-03-01,2003-04-01,31 days
"Charleston, Mississippi County, MO",-0.9,2004-03-01,2004-04-01,31 days
"Charleston, Mississippi County, MO",-0.9,2004-06-01,2004-08-01,61 days
"Charleston, Mississippi County, MO",-0.9,2004-09-01,2004-10-01,30 days
"Charleston, Mississippi County, MO",-0.9,2005-05-01,2005-06-01,31 days
"Charleston, Mississippi County, MO",-0.9,2005-10-01,2005-11-01,31 days
"Charleston, Mississippi County, MO",-0.9,2005-12-01,2006-01-01,31 days
"Charleston, Mississippi County, MO",-0.9,2007-03-01,2007-04-01,31 days
"Charleston, Mississippi County, MO",-0.9,2007-08-01,2007-09-01,31 days
"Charleston, Mississippi County, MO",-0.9,2008-08-01,2008-10-01,61 days
"Charleston, Mississippi County, MO",-0.9,2009-03-01,2009-04-01,31 days
"Charleston, Mississippi County, MO",-0.9,2009-11-01,2009-12-01,30 days
"Charleston, Mississippi County, MO",-0.9,2010-02-01,2010-03-01,28 days
"Charleston, Mississippi County, MO",-0.9,2010-06-01,2010-08-01,61 days
"Charleston, Mississippi County, MO",-0.9,2010-10-01,2010-11-01,31 days
"Charleston, Mississippi County, MO",-0.9,2011-01-01,2011-02-01,31 days
"Charleston, Mississippi County, MO",-0.9,2011-07-01,2011-08-01,31 days
"Charleston, Mississippi County, MO",-0.9,2012-04-01,2012-06-01,61 days
"Charleston, Mississippi County, MO",-0.9,2012-08-01,2012-09-01,31 days
"Charleston, Mississippi County, MO",-0.9,2013-03-01,2013-04-01,31 days
"Charleston, Mississippi County, MO",-0.9,2014-01-01,2014-02-01,31 days
"Charleston, Mississippi County, MO",-0.9,2014-05-01,2014-06-01,31 days
"Charleston, Mississippi County, MO",-0.9,2014-07-01,2014-08-01,31 days
"Charleston, Mississippi County, MO",-0.9,2016-01-01,2016-02-01,31 days
"Charleston, Mississippi County, MO",-0.9,2016-06-01,2016-07-01,30 days
"Charleston, Mississippi County, MO",-0.9,2016-09-01,2016-11-01,61 days
"Charleston, Mississippi County, MO",-0.9,2017-07-01,2017-08-01,31 days
"Charleston, Mississippi County, MO",-0.9,2017-09-01,2017-10-01,30 days
"Charleston, Mississippi County, MO",-0.9,2017-11-01,2017-12-01,30 days
"Charleston, Mississippi County, MO",-0.9,2018-07-01,2018-08-01,31 days
"Charleston, Mississippi County, MO",-0.9,2019-09-01,2019-10-01,30 days
"Charleston, Mississippi County, MO",-0.9,2022-07-01,2022-08-01,31 days
"Charleston, Mississippi County, MO",-0.9,2022-09-01,2022-11-01,61 days
"Charleston, Mississippi County, MO",-0.9,2023-05-01,2023-07-01,61 days
"Charleston, Mississippi County, MO",-0.9,2023-11-01,2024-01-01,61 days
"Charleston, Mississippi County, MO",-0.9,2024-02-01,2024-04-01,60 days
"Clarkton, Dunklin County, MO",-0.9,2000-04-01,2000-05-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2000-07-01,2000-09-01,62 days
"Clarkton, Dunklin County, MO",-0.9,2000-10-01,2000-11-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2001-04-01,2001-06-01,61 days
"Clarkton, Dunklin County, MO",-0.9,2001-08-01,2001-09-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2002-02-01,2002-03-01,28 days
"Clarkton, Dunklin County, MO",-0.9,2002-07-01,2002-08-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2003-01-01,2003-02-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2003-03-01,2003-04-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2004-09-01,2004-10-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2005-05-01,2005-06-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2005-10-01,2005-11-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2005-12-01,2006-01-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2007-03-01,2007-05-01,61 days
"Clarkton, Dunklin County, MO",-0.9,2007-08-01,2007-09-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2007-11-01,2007-12-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2008-01-01,2008-02-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2008-07-01,2008-08-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2008-11-01,2008-12-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2009-03-01,2009-04-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2009-11-01,2009-12-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2010-02-01,2010-03-01,28 days
"Clarkton, Dunklin County, MO",-0.9,2010-06-01,2010-07-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2010-08-01,2010-09-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2010-10-01,2010-11-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2010-12-01,2011-02-01,62 days
"Clarkton, Dunklin County, MO",-0.9,2011-06-01,2011-08-01,61 days
"Clarkton, Dunklin County, MO",-0.9,2012-04-01,2012-07-01,91 days
"Clarkton, Dunklin County, MO",-0.9,2012-11-01,2012-12-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2013-03-01,2013-04-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2013-11-01,2013-12-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2014-02-01,2014-03-01,28 days
"Clarkton, Dunklin County, MO",-0.9,2014-07-01,2014-08-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2014-12-01,2015-01-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2015-02-01,2015-03-01,28 days
"Clarkton, Dunklin County, MO",-0.9,2015-09-01,2015-10-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2017-02-01,2017-03-01,28 days
"Clarkton, Dunklin County, MO",-0.9,2017-09-01,2017-10-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2018-07-01,2018-08-01,31 days
"Clarkton, Dunklin County, MO",-0.9,2022-09-01,2022-10-01,30 days
"Clarkton, Dunklin County, MO",-0.9,2023-05-01,2023-07-01,61 days
"Clarkton, Dunklin County, MO",-0.9,2023-11-01,2024-01-01,61 days
"Clarkton, Dunklin County, MO",-0.9,2024-02-01,2024-04-01,60 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2000-04-01,2000-05-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2000-12-01,2001-01-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2001-03-01,2001-04-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2002-03-01,2002-04-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2002-11-01,2002-12-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2003-07-01,2003-08-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2004-06-01,2004-07-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2005-03-01,2005-04-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2005-07-01,2005-08-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2005-12-01,2006-01-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2006-02-01,2006-03-01,28 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2006-05-01,2006-06-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2006-09-01,2006-10-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2009-01-01,2009-02-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2010-10-01,2010-11-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2011-01-01,2011-02-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2011-07-01,2011-08-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2011-10-01,2011-11-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2012-05-01,2012-09-01,123 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2013-06-01,2013-09-01,92 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2014-01-01,2014-04-01,90 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2014-05-01,2014-06-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2014-11-01,2014-12-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2015-09-01,2015-11-01,61 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2016-02-01,2016-03-01,29 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2016-06-01,2016-07-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2016-10-01,2016-11-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2017-02-01,2017-03-01,28 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2017-09-01,2017-10-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2017-11-01,2018-01-01,61 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2018-04-01,2018-05-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2018-07-01,2018-08-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2020-12-01,2021-01-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2021-02-01,2021-03-01,28 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2021-08-01,2021-09-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2021-11-01,2021-12-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2022-06-01,2022-07-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2022-08-01,2022-09-01,31 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2023-04-01,2023-06-01,61 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2023-09-01,2023-10-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2023-11-01,2023-12-01,30 days
"Columbia-Sanborn Field, Boone County, MO",-0.9,2024-02-01,2024-03-01,29 days
"Columbia-South Farms, Boone County, MO",-0.9,2000-04-01,2000-05-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2000-12-01,2001-01-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2001-03-01,2001-04-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2002-03-01,2002-04-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2002-11-01,2002-12-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2003-01-01,2003-02-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2003-07-01,2003-08-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2004-06-01,2004-07-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2004-09-01,2004-10-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2005-03-01,2005-04-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2005-07-01,2005-08-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2005-12-01,2006-01-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2006-02-01,2006-03-01,28 days
"Columbia-South Farms, Boone County, MO",-0.9,2006-05-01,2006-06-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2006-09-01,2006-10-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2007-08-01,2007-09-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2009-01-01,2009-02-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2010-10-01,2010-11-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2011-01-01,2011-02-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2011-07-01,2011-08-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2011-10-01,2011-11-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2012-05-01,2012-09-01,123 days
"Columbia-South Farms, Boone County, MO",-0.9,2013-06-01,2013-09-01,92 days
"Columbia-South Farms, Boone County, MO",-0.9,2014-01-01,2014-04-01,90 days
"Columbia-South Farms, Boone County, MO",-0.9,2014-11-01,2014-12-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2015-10-01,2015-11-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2016-01-01,2016-02-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2016-06-01,2016-07-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2016-10-01,2016-11-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2017-02-01,2017-03-01,28 days
"Columbia-South Farms, Boone County, MO",-0.9,2017-11-01,2018-01-01,61 days
"Columbia-South Farms, Boone County, MO",-0.9,2018-04-01,2018-06-01,61 days
"Columbia-South Farms, Boone County, MO",-0.9,2018-09-01,2018-10-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2020-10-01,2020-11-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2020-12-01,2021-01-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2021-08-01,2021-09-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2021-11-01,2021-12-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2022-06-01,2022-07-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2022-08-01,2022-09-01,31 days
"Columbia-South Farms, Boone County, MO",-0.9,2023-04-01,2023-06-01,61 days
"Columbia-South Farms, Boone County, MO",-0.9,2023-09-01,2023-10-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2023-11-01,2023-12-01,30 days
"Columbia-South Farms, Boone County, MO",-0.9,2024-02-01,2024-03-01,29 days
"Cook Station, Crawford County, MO",-0.9,2000-03-01,2000-06-01,92 days
"Cook Station, Crawford County, MO",-0.9,2000-08-01,2000-09-01,31 days
"Cook Station, Crawford County, MO",-0.9,2001-03-01,2001-04-01,31 days
"Cook Station, Crawford County, MO",-0.9,2002-02-01,2002-03-01,28 days
"Cook Station, Crawford County, MO",-0.9,2002-11-01,2002-12-01,30 days
"Cook Station, Crawford County, MO",-0.9,2003-01-01,2003-02-01,31 days
"Cook Station, Crawford County, MO",-0.9,2003-03-01,2003-04-01,31 days
