01/01/2000 0.86
start_date end_date duration peak sum average median
04/01/2000 06/01/2000 2 -2.05 -2.17 -1.09 -1.09
12/01/2000 01/01/2001 1 -1.36 -1.36 -1.36 -1.36
03/01/2001 05/01/2001 2 -1.38 -1.47 -0.73 -0.73
03/01/2002 04/01/2002 1 -1.25 -1.25 -1.25 -1.25
11/01/2002 04/01/2003 5 -1.2 -2.86 -0.57 -0.39
07/01/2003 09/01/2003 2 -1.22 -1.54 -0.77 -0.77
06/01/2004 07/01/2004 1 -1.56 -1.56 -1.56 -1.56
09/01/2004 10/01/2004 1 -1.08 -1.08 -1.08 -1.08
03/01/2005 06/01/2005 3 -2.01 -2.76 -0.92 -0.65
07/01/2005 08/01/2005 1 -1.96 -1.96 -1.96 -1.96
02/01/2006 03/01/2006 1 -2.38 -2.38 -2.38 -2.38
05/01/2006 06/01/2006 1 -1.06 -1.06 -1.06 -1.06
09/01/2006 10/01/2006 1 -1.66 -1.66 -1.66 -1.66
08/01/2007 11/01/2007 3 -1.95 -2.73 -0.91 -0.61
01/01/2009 02/01/2009 1 -2.29 -2.29 -2.29 -2.29
10/01/2010 11/01/2010 1 -1.59 -1.59 -1.59 -1.59
01/01/2011 02/01/2011 1 -1.5 -1.5 -1.5 -1.5
10/01/2011 11/01/2011 1 -1.49 -1.49 -1.49 -1.49
05/01/2012 01/01/2013 8 -2.16 -8.24 -1.03 -0.82
06/01/2013 04/01/2014 10 -1.78 -8.5 -0.85 -1.06
10/01/2015 11/01/2015 1 -1.52 -1.52 -1.52 -1.52
02/01/2016 07/01/2016 5 -1.91 -5.24 -1.05 -0.85
10/01/2016 11/01/2016 1 -1.28 -1.28 -1.28 -1.28
02/01/2017 04/01/2017 2 -1.97 -2.2 -1.1 -1.1
11/01/2017 01/01/2018 2 -2.35 -3.82 -1.91 -1.91
04/01/2018 06/01/2018 2 -2.4 -3.38 -1.69 -1.69
12/01/2020 01/01/2021 1 -1.15 -1.15 -1.15 -1.15
08/01/2021 09/01/2021 1 -1.88 -1.88 -1.88 -1.88
06/01/2022 11/01/2022 5 -1.15 -3.28 -0.66 -0.63
04/01/2023 07/01/2023 3 -2.02 -4.27 -1.42 -2
