0,1,2,3,4,5,6
05/01/2000,08/01/2000,3,-1.92,-3.35,-1.12,-1.09
12/01/2001,05/01/2002,5,-1.62,-6.38,-1.28,-1.42
08/01/2002,04/01/2003,8,-2.51,-13.07,-1.63,-1.64
12/01/2010,07/01/2011,7,-1.74,-6.79,-0.97,-0.91
07/01/2012,01/01/2013,6,-2.57,-9.29,-1.55,-1.63
08/01/2013,10/01/2013,2,-2.42,-3.56,-1.78,-1.78
03/01/2014,06/01/2014,3,-1.94,-2.74,-0.91,-0.68
10/01/2015,11/01/2015,1,-1.77,-1.77,-1.77,-1.77
01/01/2018,09/01/2018,8,-3.64,-13.09,-1.64,-1.54
10/01/2020,01/01/2021,3,-2.15,-4.92,-1.64,-1.46
02/01/2022,05/01/2022,3,-2.04,-2.87,-0.96,-0.75
10/01/2022,01/01/2023,3,-1.52,-2.57,-0.86,-0.6
05/01/2023,08/01/2023,3,-1.81,-4.28,-1.43,-1.68
11/01/2023,12/01/2023,1,-1.73,-1.73,-1.73,-1.73
