0,1,2,3,4,5,6
09/01/2000,03/01/2001,6,-1.62,-6.54,-1.09,-1.12
05/01/2001,10/01/2001,5,-1.91,-7.36,-1.47,-1.5
12/01/2005,08/01/2006,8,-2.49,-9.12,-1.14,-1.14
04/01/2007,10/01/2007,6,-2.22,-8.77,-1.46,-1.36
07/01/2008,04/01/2009,9,-2.36,-8.01,-0.89,-0.79
10/01/2010,04/01/2011,6,-2.55,-6.98,-1.16,-1.13
04/01/2012,10/01/2012,6,-1.87,-6.8,-1.13,-1.27
03/01/2014,05/01/2014,2,-1.84,-2.2,-1.1,-1.1
01/01/2015,04/01/2015,3,-1.85,-4.35,-1.45,-1.84
11/01/2017,02/01/2018,3,-2.49,-5.08,-1.69,-1.35
11/01/2022,01/01/2023,2,-1.68,-1.94,-0.97,-0.97
